TrustCent	TrustProv	TrustLocal	V7B	Peking	year_88_89	year_87_90	year_86_91	year_85_92	year_84_93	year_84_94	Female	marriage	T	start_year	method	Age_Enter_college	V01a	V23	V4a	Education	CCP	GovtJob	Income2	X_c	X2	X3	DX	DX2	DX3	D	method.1	birth_date
2.0	2.0	9.0	5.0	0.0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1987.0	4.0	18.4166259765625	3.0	1.0	2.0	2.0	0.0	1.0	4.0	-1.33511912724748	1.78254308394207	-2.37990736651378	-1.33511912724748	1.78254308394207	-2.37990736651378	1.0	4.0	1969.60946757952
6.0	6.0	5.0	4.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1988.0	4.0	19.4166259765625	2.0	2.0	1.0	1.0	0.0	1.0	3.0	-1.33511912724748	1.78254308394207	-2.37990736651378	-1.33511912724748	1.78254308394207	-2.37990736651378	1.0	4.0	1968.53404660104
9.0	8.0	8.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1989.0	4.0	20.5	2.0	2.0	1.0	1.0	0.0	0.0	3.0	-1.41849315068498	2.0121228185402	-2.85418243643624	-1.41849315068498	2.0121228185402	-2.85418243643624	1.0	4.0	1968.34176232899
8.0	7.0	5.0	5.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1988.0	2.0	19.6666259765625	2.0	2.0	2.0	2.0	1.0	1.0	2.0	-1.58511912724748	2.51260264756581	-3.98277451582923	-1.58511912724748	2.51260264756581	-3.98277451582923	1.0	2.0	1969.57184254983
8.0	10.0	2.0	4.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1988.0	4.0	19.8333740234375	3.0	2.0	2.0	2.0	0.0	1.0	3.0	-1.75186717412248	3.06903859576789	-5.37654797204071	-1.75186717412248	3.06903859576789	-5.37654797204071	1.0	4.0	1968.29128428921
5.0	3.0	0.0	5.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1989.0	2.0	20.8333740234375	2.0	1.0	2.0	2.0	1.0	1.0	3.0	-1.75186717412248	3.06903859576789	-5.37654797204071	-1.75186717412248	3.06903859576789	-5.37654797204071	1.0	2.0	1967.99461535504
8.0	7.0	0.0	3.0	0.0		1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1987.0	4.0	18.9166259765625	2.0	2.0	2.0	2.0	0.0	1.0	3.0	-1.83511912724748	3.36766221118956	-6.1800613378625	-1.83511912724748	3.36766221118956	-6.1800613378625	1.0	4.0	1969.51330156438
1.0	2.0	6.0	5.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1988.0	4.0	20.0833740234375	1.0	2.0	1.0	1.0	0.0	0.0	4.0	-2.00186717412248	4.00747218282913	-8.02242701401459	-2.00186717412248	4.00747218282913	-8.02242701401459	1.0	4.0	1969.10323802568
5.0	4.0	1.0	4.0	0.0			1.0	1.0	1.0	1.0	0.0	0.0	1.0	1986.0	4.0	18.1666259765625	1.0	1.0	2.0	2.0	0.0	1.0	2.0	-2.08511912724748	4.3477217748133	-9.06551783261357	-2.08511912724748	4.3477217748133	-9.06551783261357	1.0	4.0	1967.66349243931
1.0	3.0	6.0	5.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1986.0	4.0	18.5	1.0	2.0	1.0	1.0	0.0	1.0	3.0	-2.41849315068498	5.84910911991016	-14.1460303441118	-2.41849315068498	5.84910911991016	-14.1460303441118	1.0	4.0	1968.49436932663
6.0	4.0	2.0	5.0	0.0		1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1987.0	2.0	19.5833740234375	3.0	1.0	1.0	1.0	0.0	0.0	7.0	-2.50186717412248	6.25933935695161	-15.6600356688501	-2.50186717412248	6.25933935695161	-15.6600356688501	1.0	2.0	1968.65169977956
8.0	6.0	4.0	4.0	0.0		1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1987.0	4.0	19.5833740234375	1.0	2.0	1.0	1.0	0.0	1.0	3.0	-2.50186717412248	6.25933935695161	-15.6600356688501	-2.50186717412248	6.25933935695161	-15.6600356688501	1.0	4.0	1969.0903146076
5.0	5.0	3.0	3.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1988.0	4.0	20.6666259765625	2.0	2.0	1.0	1.0	0.0	1.0	3.0	-2.58511912724748	6.68284090206078	-17.2759398402691	-2.58511912724748	6.68284090206078	-17.2759398402691	1.0	4.0	1968.82338034175
5.0	1.0	1.0	4.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1986.0	2.0	18.9166259765625	3.0	2.0	1.0	1.0	0.0	1.0	4.0	-2.83511912724748	8.03790046568452	-22.7884053531736	-2.83511912724748	8.03790046568452	-22.7884053531736	1.0	2.0	1967.88883907162
